criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,100,log2,5,100,best,0.7095238095238094,0.09689042833036098,19
gini,100,log2,5,100,random,0.5,0.0,637
gini,100,log2,10,2,best,0.6904761904761906,0.07824607964359517,86
gini,100,log2,10,2,random,0.5238095238095238,0.04761904761904762,513
gini,100,log2,10,5,best,0.6904761904761906,0.07824607964359517,86
gini,100,log2,10,5,random,0.5238095238095238,0.04761904761904762,513
gini,100,log2,10,10,best,0.6904761904761906,0.07824607964359517,86
gini,100,log2,10,10,random,0.5238095238095238,0.04761904761904762,513
gini,100,log2,10,100,best,0.7095238095238094,0.09689042833036098,19
gini,100,log2,10,100,random,0.5190476190476191,0.03809523809523809,549
gini,100,log2,50,2,best,0.5857142857142856,0.08464947064110086,427
gini,100,log2,50,2,random,0.5,0.0,637
gini,100,log2,50,5,best,0.5857142857142856,0.08464947064110086,427
gini,100,log2,50,5,random,0.5,0.0,637
gini,100,log2,50,10,best,0.5857142857142856,0.08464947064110086,427
gini,100,log2,50,10,random,0.5,0.0,637
gini,100,log2,50,100,best,0.5857142857142856,0.08464947064110086,427
gini,100,log2,50,100,random,0.5,0.0,637
gini,100,log2,100,2,best,0.5,0.0,637
gini,100,log2,100,2,random,0.5,0.0,637
gini,100,log2,100,5,best,0.5,0.0,637
gini,100,log2,100,5,random,0.5,0.0,637
gini,100,log2,100,10,best,0.5,0.0,637
gini,100,log2,100,10,random,0.5,0.0,637
gini,100,log2,100,100,best,0.5,0.0,637
gini,100,log2,100,100,random,0.5,0.0,637
gini,100,,1,2,best,0.5904761904761905,0.11408712905438989,416
gini,100,,1,2,random,0.6666666666666667,0.1146818531313552,191
gini,100,,1,5,best,0.6142857142857144,0.09920317455237934,380
